rank_this_week_sg_putt,rank_last_week_sg_putt,name,rounds_sg_putt,average_sg_putt,total_sg_putt,measured_rounds_sg_putt
1,1,Dominic Bozzelli,39,1.135,23.84,21
2,2,Pat Perez,33,1.004,12.045,12
3,4,Martin Piller,24,0.944,10.379,11
4,5,Jason Day,29,0.868,13.022,15
5,3,Brian Gay,56,0.824,32.149,39
6,6,Denny McCarthy,45,0.812,26.787,33
7,15,Graeme McDowell,41,0.79,18.961,24
8,7,Rickie Fowler,36,0.779,24.138,31
9,T9,Andrew Putnam,41,0.754,16.581,22
10,T9,Vaughn Taylor,49,0.724,28.95,40
11,11,Brandt Snedeker,50,0.723,23.146,32
12,12,Patton Kizzire,42,0.722,19.499,27
13,14,Dustin Johnson,31,0.706,15.535,22
T14,T17,Charles Howell III,49,0.68,21.752,32
T14,T17,Adam Scott,27,0.68,10.881,16
16,13,Scott Langley,46,0.649,23.36,36
17,19,Cameron Smith,41,0.645,16.122,25
18,16,Julián Etulain,43,0.614,17.807,29
19,21,Xander Schauffele,37,0.611,12.831,21
20,20,Wyndham Clark,47,0.593,20.739,35
21,22,Cameron Champ,42,0.588,19.984,34
22,23,Stewart Cink,29,0.575,10.918,19
23,24,Francesco Molinari,27,0.564,9.02,16
24,31,Peter Malnati,39,0.563,18.013,32
25,25,Michael Thompson,38,0.56,17.92,32
26,28,Nate Lashley,28,0.53,9.002,17
27,47,Ryan Moore,40,0.512,14.85,29
28,8,Billy Horschel,49,0.51,14.789,29
29,43,Nick Taylor,50,0.507,21.787,43
30,58,José de Jesús Rodríguez,43,0.505,13.646,27
31,29,Si Woo Kim,49,0.503,14.601,29
32,30,Chase Wright,42,0.483,14.499,30
33,32,Patrick Reed,37,0.458,12.361,27
34,T33,Justin Rose,24,0.448,5.819,13
35,35,Kiradech Aphibarnrat,31,0.44,8.351,19
36,27,Sam Ryder,48,0.439,15.792,36
37,36,Kevin Kisner,45,0.429,13.314,31
38,T61,Adam Schenk,60,0.425,17.86,42
39,38,Patrick Rodgers,44,0.421,16.003,38
40,37,Beau Hossler,46,0.418,12.966,31
41,T54,Curtis Luck,39,0.413,9.904,24
42,39,Bryson DeChambeau,31,0.408,11.424,28
43,T33,Sam Burns,47,0.407,15.047,37
44,68,Brian Stuard,56,0.405,15.776,39
45,40,Matt Wallace,23,0.404,6.465,16
46,59,Ryan Palmer,34,0.393,8.258,21
47,44,Derek Fathauer,20,0.39,2.732,7
48,26,Sepp Straka,36,0.378,8.323,22
49,49,Charl Schwartzel,28,0.367,4.772,13
50,41,Harris English,54,0.366,15.364,42
51,50,John Catlin,19,0.365,2.556,7
52,53,Rafa Cabrera Bello,37,0.346,6.922,20
53,T54,Ben Crane,28,0.345,4.835,14
54,42,J.T. Poston,54,0.333,15.313,46
55,45,Aaron Baddeley,41,0.332,9.295,28
56,73,Jonas Blixt,48,0.327,11.769,36
57,56,Rory McIlroy,32,0.326,7.487,23
58,T64,Peter Uihlein,45,0.324,8.111,25
59,52,Jim Furyk,35,0.319,7.964,25
60,60,Matthew Fitzpatrick,22,0.297,3.857,13
61,63,Whee Kim,41,0.276,5.245,19
62,T64,Jon Rahm,39,0.272,7.885,29
63,66,Troy Merritt,24,0.271,5.153,19
64,67,Johnson Wagner,35,0.268,6.439,24
65,105,Charley Hoffman,36,0.264,5.553,21
66,77,Chris Stroud,38,0.251,7.031,28
67,69,Marc Leishman,38,0.248,6.198,25
68,70,Sergio Garcia,25,0.247,4.94,20
69,71,Anirban Lahiri,36,0.236,6.125,26
70,81,Jordan Spieth,33,0.232,5.791,25
71,T74,Matt Every,20,0.221,2.425,11
72,48,Tony Finau,41,0.218,5.895,27
73,51,Ernie Els,34,0.208,3.961,19
74,78,Tiger Woods,21,0.191,2.86,15
75,T79,Lucas Glover,44,0.181,7.063,39
76,72,Martin Laird,38,0.175,5.43,31
77,T134,Fabián Gómez,36,0.174,3.829,22
78,46,Ben Silverman,38,0.166,4.309,26
79,T84,Richy Werenski,47,0.159,5.866,37
80,107,Sungjae Im,63,0.148,6.965,47
81,87,Patrick Cantlay,31,0.142,2.975,21
82,88,Justin Thomas,39,0.138,3.857,28
83,115,Jason Kokrak,48,0.136,5.027,37
84,97,Ryan Armour,50,0.128,4.215,33
T85,89,Webb Simpson,33,0.125,3.619,29
T85,T84,Nick Watney,45,0.125,3.864,31
87,90,Talor Gooch,27,0.124,2.605,21
88,83,Roger Sloan,47,0.121,4.003,33
89,82,Sung Kang,53,0.118,4.837,41
T90,T74,Matt Jones,49,0.116,3.582,31
T90,95,Ollie Schniederjans,48,0.116,3.958,34
92,91,Hunter Mahan,45,0.115,3.809,33
93,98,Hudson Swafford,45,0.113,3.937,35
94,96,Danny Lee,44,0.101,3.518,35
95,76,Chesson Hadley,44,0.085,2.56,30
96,T61,Jonathan Byrd,29,0.083,1.328,16
97,100,Roberto Díaz,37,0.075,1.713,23
98,99,Tommy Fleetwood,27,0.068,1.216,18
99,T79,Max Homa,43,0.065,2.095,32
100,120,Scott Brown,48,0.055,1.87,34
101,111,Cameron Tringale,38,0.053,1.264,24
102,93,Brady Schnell,30,0.05,0.907,18
103,101,Ryan Blaum,53,0.049,2.122,43
104,104,Carlos Ortiz,46,0.044,1.597,36
105,102,Bud Cauley,41,0.042,1.398,33
106,123,Brian Harman,43,0.034,0.924,27
107,106,Jhonattan Vegas,46,0.01,0.337,35
108,108,Ian Poulter,31,0.007,0.135,20
109,109,Adam Hadwin,42,0.004,0.111,26
110,110,Jamie Lovemark,22,0.001,0.003,7
111,92,Freddie Jacobson,31,-0.011,-0.216,20
112,114,David Hearn,31,-0.015,-0.269,18
113,94,Tom Hoge,50,-0.016,-0.512,32
114,116,Phil Mickelson,29,-0.021,-0.452,22
115,118,Michael Kim,37,-0.024,-0.601,25
T116,132,Abraham Ancer,49,-0.025,-0.764,31
T116,119,Bill Haas,37,-0.025,-0.727,29
118,126,Roberto Castro,40,-0.03,-0.908,30
119,121,Zach Johnson,30,-0.033,-0.827,25
120,122,Wes Roach,32,-0.034,-0.607,18
121,117,Kyoung-Hoon Lee,49,-0.035,-0.947,27
T122,113,Dylan Frittelli,39,-0.046,-1.366,30
T122,103,Rory Sabbatini,47,-0.046,-1.575,34
124,112,J.J. Spaun,46,-0.067,-1.862,28
125,124,Stephan Jaeger,45,-0.09,-2.788,31
126,129,Chez Reavie,49,-0.092,-2.399,26
127,131,Louis Oosthuizen,29,-0.108,-1.73,16
128,86,J.B. Holmes,39,-0.11,-2.317,21
T129,155,Kyle Jones,41,-0.122,-3.552,29
T129,T141,Matt Kuchar,47,-0.122,-4.164,34
131,140,Sam Saunders,45,-0.126,-4.796,38
T132,T134,Sean O'Hair,23,-0.13,-2.208,17
T132,160,Robert Streb,46,-0.13,-4.421,34
134,T141,Seamus Power,39,-0.135,-3.913,29
135,138,Scott Piercy,48,-0.136,-4.341,32
136,T158,Martin Kaymer,22,-0.148,-3.256,22
137,137,Anders Albertson,40,-0.159,-4.451,28
138,143,Tyrrell Hatton,30,-0.164,-2.948,18
139,144,Chris Thompson,26,-0.165,-2.313,14
140,128,D.A. Points,31,-0.167,-2.839,17
141,145,Aaron Wise,32,-0.168,-3.694,22
142,146,John Chin,32,-0.172,-2.752,16
143,149,Kelly Kraft,45,-0.181,-5.248,29
144,147,Kevin Tway,38,-0.198,-5.742,29
145,150,Gary Woodland,48,-0.209,-6.683,32
146,152,Brooks Koepka,29,-0.213,-3.83,18
147,T158,Joel Dahmen,56,-0.214,-8.148,38
148,177,Martin Trainer,42,-0.218,-6.767,31
149,127,D.J. Trahan,25,-0.22,-2.856,13
150,154,C.T. Pan,48,-0.223,-6.254,28
151,153,John Huh,35,-0.225,-6.065,27
152,148,Brandon Hagy,21,-0.241,-4.334,18
153,139,Cameron Davis,44,-0.245,-7.114,29
154,164,Shawn Stefani,41,-0.253,-6.839,27
155,178,Scott Stallings,43,-0.255,-8.401,33
156,133,Lucas Bjerregaard,25,-0.259,-3.624,14
T157,999,Haotong Li,20,-0.264,-3.17,12
T157,162,Harold Varner III,46,-0.264,-10.027,38
159,161,Branden Grace,38,-0.265,-5.032,19
160,182,Jimmy Walker,39,-0.27,-7.562,28
161,151,Russell Henley,42,-0.277,-9.136,33
162,167,Bubba Watson,33,-0.299,-8.957,30
163,156,Andrew Landry,40,-0.317,-11.088,35
T164,125,Daniel Berger,24,-0.319,-5.418,17
T164,168,Satoshi Kodaira,41,-0.319,-9.252,29
166,166,Adam Svensson,43,-0.321,-9.948,31
167,169,Joey Garber,30,-0.332,-5.307,16
168,170,Sangmoon Bae,32,-0.335,-6.03,18
169,188,Kevin Streelman,45,-0.338,-12.515,37
170,171,Robert Garrigus,20,-0.342,-4.446,13
171,130,Luke List,38,-0.345,-10.001,29
172,173,Brice Garnett,47,-0.348,-9.393,27
173,T174,Russell Knox,45,-0.355,-11.73,33
174,176,Keith Mitchell,44,-0.358,-8.959,25
175,163,Seth Reeves,42,-0.361,-10.113,28
176,165,Austin Cook,32,-0.373,-7.836,21
177,180,Kevin Na,36,-0.379,-7.199,19
T178,179,Brandon Harkins,49,-0.389,-13.621,35
T178,181,Mackenzie Hughes,38,-0.389,-10.893,28
180,183,Hideki Matsuyama,39,-0.408,-11.009,27
181,184,Paul Casey,40,-0.411,-9.04,22
182,157,Davis Love III,27,-0.449,-8.089,18
183,186,Sebastián Muñoz,44,-0.45,-12.593,28
184,T174,Jim Knous,41,-0.452,-12.213,27
T185,187,Alex Cejka,33,-0.457,-10.517,23
T185,185,Adam Long,34,-0.457,-12.799,28
187,T199,Corey Conners,38,-0.46,-12.411,27
188,192,Trey Mullinax,47,-0.468,-17.331,37
189,189,Bronson Burgoon,29,-0.484,-10.163,21
190,193,Hank Lebioda,41,-0.486,-14.096,29
191,190,Danny Willett,29,-0.5,-10.991,22
192,196,Josh Teater,33,-0.505,-9.598,19
193,191,James Hahn,34,-0.507,-8.615,17
194,208,J.J. Henry,26,-0.543,-8.144,15
195,195,Chris Kirk,43,-0.55,-18.161,33
196,201,"Ted Potter, Jr.",40,-0.573,-16.618,29
197,202,Brendan Steele,38,-0.586,-15.813,27
198,198,Cody Gribble,34,-0.624,-16.226,26
199,194,Alex Prugh,41,-0.626,-16.903,27
200,172,John Senden,31,-0.633,-11.402,18
201,T199,Grayson Murray,36,-0.634,-16.486,26
202,205,Kramer Hickok,47,-0.664,-19.256,29
203,197,Jim Herman,29,-0.666,-12.654,19
204,203,Tyrone Van Aswegen,20,-0.674,-6.064,9
205,206,Kyle Stanley,39,-0.69,-15.863,23
206,207,Joaquin Niemann,48,-0.768,-26.11,34
207,204,Byeong Hun An,39,-0.814,-19.538,24
208,209,Keegan Bradley,45,-0.824,-27.205,33
209,210,Emiliano Grillo,45,-0.838,-20.959,25
210,211,Alex Noren,25,-0.874,-11.363,13
211,212,Jason Dufner,36,-0.877,-18.406,21
212,213,Tyler Duncan,52,-0.969,-32.954,34
213,214,Rod Pampling,26,-1.232,-18.473,15
214,215,Tom Lovelady,19,-1.42,-11.358,8